scenario,previous_utterance,current_utterance,label
Financial Advisor Meeting,"Based on your age and risk tolerance, I'd suggest a diversified portfolio with a 70% allocation in equities and 30% in fixed-income assets.","uh-huh, can you explain what 'fixed-income assets' are exactly?",0
Financial Advisor Meeting,"The expense ratio on this particular mutual fund is 0.05%, which is considered very low and won't significantly eat into your returns over time.","hmmm",1
Financial Advisor Meeting,"The expense ratio on this particular mutual fund is 0.05%, which is considered very low and won't significantly eat into your returns over time.","hmm, what's a typical expense ratio for a fund like this?",0
Financial Advisor Meeting,"And because this is a Roth IRA, all of your qualified withdrawals in retirement will be completely tax-free.","oh",1
Financial Advisor Meeting,"And because this is a Roth IRA, all of your qualified withdrawals in retirement will be completely tax-free.","oh, I didn't realize that. How does that differ from a traditional IRA?",0
Financial Advisor Meeting,"The idea behind dollar-cost averaging is that you invest a fixed amount of money at regular intervals, regardless of what the market is doing.","right",1
Financial Advisor Meeting,"The idea behind dollar-cost averaging is that you invest a fixed amount of money at regular intervals, regardless of what the market is doing.","right, so that helps to average out the purchase price over time?",0
Financial Advisor Meeting,"The next step would be for me to send you the account opening documents via our secure portal.","ok",1
Financial Advisor Meeting,"The next step would be for me to send you the account opening documents via our secure portal.","okay, and how long does it usually take for the account to be active after I sign?",0
Financial Advisor Meeting,"This portfolio is globally diversified, which means you're not just invested in the U.S. market. This helps to mitigate regional economic risks.","i see",1
Financial Advisor Meeting,"This portfolio is globally diversified, which means you're not just invested in the U.S. market. This helps to mitigate regional economic risks.","i see, so if the U.S. market has a bad year, the international investments might balance it out?",0
Financial Advisor Meeting,"We will automatically rebalance your portfolio once a year to ensure the asset allocation stays in line with your target.","got it",1
Financial Advisor Meeting,"We will automatically rebalance your portfolio once a year to ensure the asset allocation stays in line with your target.","got it, but what happens if there's a huge market crash? Do you rebalance then too?",0
Financial Advisor Meeting,"Since you're young and have a long time horizon, you can afford to take on more risk for the potential of higher growth.","that makes sense",1
Financial Advisor Meeting,"Since you're young and have a long time horizon, you can afford to take on more risk for the potential of higher growth.","that makes sense, but what happens to that risk level as I get closer to retirement age?",0
Financial Advisor Meeting,"It's important to remember that past performance is not an indicator of future results; the market can be unpredictable.","i understand",1
Financial Advisor Meeting,"It's important to remember that past performance is not an indicator of future results; the market can be unpredictable.","i understand, but what has the historical return been for this type of portfolio?",0
Financial Advisor Meeting,"So, I will prepare the paperwork and follow up with you by email tomorrow morning.","very well",1
Financial Advisor Meeting,"So, I will prepare the paperwork and follow up with you by email tomorrow morning.","very well, what's the best way to contact you if I have questions before then?",0
Gen Z Social Media Gossip,"did u see the apology video he posted? the fake crying was so cringe.","ya",1
Gen Z Social Media Gossip,"did u see the apology video he posted? the fake crying was so cringe.","ya but did you read the comments? everyone is dragging him.",0
Gen Z Social Media Gossip,"she's literally just copying everything that other creator does, even the video editing style.","uh huh",1
Gen Z Social Media Gossip,"she's literally just copying everything that other creator does, even the video editing style.","uh huh and now she's trying to sell merch like it was her idea.",0
Gen Z Social Media Gossip,"so i think they're secretly dating, he was in the background of her last story.","mhmm",1
Gen Z Social Media Gossip,"so i think they're secretly dating, he was in the background of her last story.","mhmm i saw that! do you think that's why he broke up with his ex?",0
Gen Z Social Media Gossip,"idk his new content is just not hitting the same since he signed with that agency.","hmmm",1
Gen Z Social Media Gossip,"idk his new content is just not hitting the same since he signed with that agency.","hmm maybe he's just running out of ideas.",0
Gen Z Social Media Gossip,"omg she just posted that they're taking a break from the internet.","oh",1
Gen Z Social Media Gossip,"omg she just posted that they're taking a break from the internet.","oh wait for real? let me go look.",0
Gen Z Social Media Gossip,"he got like a million new followers just from that one video.","wow",1
Gen Z Social Media Gossip,"he got like a million new followers just from that one video.","wow i can't believe that went so viral, it wasn't even that funny.",0
Gen Z Social Media Gossip,"it's so obvious he bought those followers, his engagement is terrible.","right",1
Gen Z Social Media Gossip,"it's so obvious he bought those followers, his engagement is terrible.","right? like 2 million followers but 1000 likes on a pic? make it make sense.",0
Gen Z Social Media Gossip,"anyway i'm over it, let's talk about something else.","ok",1
Gen Z Social Media Gossip,"anyway i'm over it, let's talk about something else.","ok but first send me the link to that video you were talking about.",0
Gen Z Social Media Gossip,"are you gonna watch her live stream later? she's supposed to address the drama.","sure",1
Gen Z Social Media Gossip,"are you gonna watch her live stream later? she's supposed to address the drama.","sure if you remind me, i'll probably forget.",0
Gen Z Social Media Gossip,"okay i'm officially unfollowing him, the second hand embarrassment is too much.","alright",1
Gen Z Social Media Gossip,"okay i'm officially unfollowing him, the second hand embarrassment is too much.","alright i'm doing it too, it's for my own mental health.",0
Gen Z Social Media Gossip,"so the drama is that she used a copyrighted sound and now her video is muted.","gotcha",1
Gen Z Social Media Gossip,"so the drama is that she used a copyrighted sound and now her video is muted.","gotcha, that's why everyone in the comments is making fun of her.",0
Gen Z Social Media Gossip,"she's doing a giveaway for a new phone to the person with the best comment.","awesome",1
Gen Z Social Media Gossip,"she's doing a giveaway for a new phone to the person with the best comment.","awesome, what do you think i should write?",0
Gen Z Social Media Gossip,"he's probably just doing it for the attention, any drama is good for views.","that's true",1
Gen Z Social Media Gossip,"he's probably just doing it for the attention, any drama is good for views.","that's true, but i still feel like it's gonna backfire on him.",0
Gen Z Social Media Gossip,"so she's basically acting like she invented the trend when people were doing it months ago.","exactly",1
Gen Z Social Media Gossip,"so she's basically acting like she invented the trend when people were doing it months ago.","exactly! and her fans don't even care, they're defending her in the comments.",0
Gen Z Social Media Gossip,"brb my mom is calling me","k",1
Gen Z Social Media Gossip,"brb my mom is calling me","k text me after, i have more tea",0
Gen Z Social Media Gossip,"check out his latest reel, the fit is so bad.","yo",1
Gen Z Social Media Gossip,"check out his latest reel, the fit is so bad.","yo i just saw it, what was he thinking with those shoes?",0
Gen Z Social Media Gossip,"and then she deleted the whole post like nothing happened.","hello",1
Gen Z Social Media Gossip,"and then she deleted the whole post like nothing happened.","hello? does she think people didn't screen record it?",0
University Office Hours,"So, you're having trouble with the thesis statement for the upcoming essay, is that right?","yes",1
University Office Hours,"So, you're having trouble with the thesis statement for the upcoming essay, is that right?","yes, I have a topic, but I'm not sure how to make the argument specific enough.",0
University Office Hours,"You need to make sure your argument is debatable. You need to take a position that you can support with evidence from the text.","uh-huh",1
University Office Hours,"You need to make sure your argument is debatable. You need to take a position that you can support with evidence from the text.","uh-huh, so instead of just saying the author uses symbolism, I should argue what the symbolism *means*?",0
University Office Hours,"Have you considered looking at the critical theory we discussed last week? The post-colonial lens could be very applicable here.","hmm",1
University Office Hours,"Have you considered looking at the critical theory we discussed last week? The post-colonial lens could be very applicable here.","hmm, I hadn't thought of that. How would that change my approach to the main character?",0
University Office Hours,"Also, remember that the deadline for the topic proposal was actually yesterday, but I can give you an extension until tomorrow evening.","oh",1
University Office Hours,"Also, remember that the deadline for the topic proposal was actually yesterday, but I can give you an extension until tomorrow evening.","oh, thank you so much! I completely mixed up the dates.",0
University Office Hours,"The key distinction you're missing is between correlation and causation. Just because two events happen sequentially doesn't mean one caused the other.","ah",1
University Office Hours,"The key distinction you're missing is between correlation and causation. Just because two events happen sequentially doesn't mean one caused the other.","ah, I think I get it now. So my data shows a relationship, but I can't claim it's a causal one.",0
University Office Hours,"So for your primary sources, you'll want to focus on the letters written in the first decade, before the political climate shifted.","right",1
University Office Hours,"So for your primary sources, you'll want to focus on the letters written in the first decade, before the political climate shifted.","right, so I should ignore the later publications for this part of the argument?",0
University Office Hours,"I suggest you write a one-page outline of your argument and email it to me, and I can give you some feedback.","ok",1
University Office Hours,"I suggest you write a one-page outline of your argument and email it to me, and I can give you some feedback.","okay, that would be really helpful. Is a bullet-point format fine for the outline?",0
University Office Hours,"The reason your code is throwing an error is that the variable is out of scope. You defined it inside the loop, so it can't be accessed outside of it.","i see",1
University Office Hours,"The reason your code is throwing an error is that the variable is out of scope. You defined it inside the loop, so it can't be accessed outside of it.","i see, so if I define it before the loop starts, that should fix the problem?",0
University Office Hours,"Make sure you're citing your sources using the Chicago style guide, not MLA. The requirements are in the syllabus.","got it",1
University Office Hours,"Make sure you're citing your sources using the Chicago style guide, not MLA. The requirements are in the syllabus.","got it, but I'm a little unsure about how to cite a source with multiple authors in that style.",0
University Office Hours,"You don't need to summarize the entire plot in your introduction. Just provide enough context for your thesis to be understood.","that makes sense",1
University Office Hours,"You don't need to summarize the entire plot in your introduction. Just provide enough context for your thesis to be understood.","that makes sense, so I can cut down my first paragraph quite a bit then.",0
University Office Hours,"The exam will cover everything from the midterm onwards, with a particular focus on the last three lectures.","i understand",1
University Office Hours,"The exam will cover everything from the midterm onwards, with a particular focus on the last three lectures.","i understand, will the format be similar to the midterm, with multiple choice and short answer questions?",0
University Office Hours,"You should also address the main counter-argument to your position. Acknowledging it will make your own argument stronger.","good point",1
University Office Hours,"You should also address the main counter-argument to your position. Acknowledging it will make your own argument stronger.","good point, where would be the best place in the essay to do that?",0
DIY YouTube Tutorial,"So you can see here, this tile doesn't sit flush with the others, which is a real problem.","ya",1
DIY YouTube Tutorial,"So you can see here, this tile doesn't sit flush with the others, which is a real problem.","yeah, is that because the subfloor isn't level right there?",0
DIY YouTube Tutorial,"Next, you want to take your trowel and apply a thin, even layer of the thin-set mortar, making sure you get good coverage.","uh-huh",1
DIY YouTube Tutorial,"Next, you want to take your trowel and apply a thin, even layer of the thin-set mortar, making sure you get good coverage.","uh-huh, and which direction should the ridges from the trowel go?",0
DIY YouTube Tutorial,"I thought this paint color would be more of a grey, but on the wall, it's looking almost blue.","hmm",1
DIY YouTube Tutorial,"I thought this paint color would be more of a grey, but on the wall, it's looking almost blue.","hmm, maybe it will look different once it dries completely.",0
DIY YouTube Tutorial,"And you have to be really careful here because this is a load-bearing wall.","oh",1
DIY YouTube Tutorial,"And you have to be really careful here because this is a load-bearing wall.","oh, so we can't just cut into it without adding a temporary support?",0
DIY YouTube Tutorial,"Alright, I'm peeling back the painter's tape... look at that clean, crisp line!","wow",1
DIY YouTube Tutorial,"Alright, I'm peeling back the painter's tape... look at that clean, crisp line!","wow, that looks so much better than the last time we tried this.",0
DIY YouTube Tutorial,"So you want to make sure you measure twice and cut once. There's no going back if you cut the board too short.","right",1
DIY YouTube Tutorial,"So you want to make sure you measure twice and cut once. There's no going back if you cut the board too short.","right, can you double-check my measurement before I take it to the saw?",0
DIY YouTube Tutorial,"I'm going to let this first coat of primer dry for at least four hours before we do anything else.","ok",1
DIY YouTube Tutorial,"I'm going to let this first coat of primer dry for at least four hours before we do anything else.","okay, so we can start working on taping off the other room in the meantime.",0
DIY YouTube Tutorial,"You have to wire the black wire to the black wire, and the white wire to the white. Don't mix them up.","gotcha",1
DIY YouTube Tutorial,"You have to wire the black wire to the black wire, and the white wire to the white. Don't mix them up.","gotcha, and what do we do with the copper ground wire?",0
DIY YouTube Tutorial,"Use the stud finder and mark each stud with a pencil so you know where to drill.","got it",1
DIY YouTube Tutorial,"Use the stud finder and mark each stud with a pencil so you know where to drill.","got it, but the stud finder is beeping everywhere right here, what does that mean?",0
DIY YouTube Tutorial,"We need to put down this vapor barrier first to prevent any moisture from coming up through the concrete slab and ruining the new floor.","that makes sense",1
DIY YouTube Tutorial,"We need to put down this vapor barrier first to prevent any moisture from coming up through the concrete slab and ruining the new floor.","that makes sense, should we overlap the seams when we lay it down?",0
DIY YouTube Tutorial,"Now just slide the cabinet into place... and it fits like a glove.","perfect",1
DIY YouTube Tutorial,"Now just slide the cabinet into place... and it fits like a glove.","perfect, now we just need to secure it to the wall, right?",0
DIY YouTube Tutorial,"And this new tool I bought lets me make perfect 45-degree cuts every single time.","sweet",1
DIY YouTube Tutorial,"And this new tool I bought lets me make perfect 45-degree cuts every single time.","sweet, that's way easier than using the old miter box.",0
DIY YouTube Tutorial,"So you're saying we should use the nail gun for this part, to make it go faster?","exactly",1
DIY YouTube Tutorial,"So you're saying we should use the nail gun for this part, to make it go faster?","exactly, just be careful with the pressure setting so you don't drive the nails too deep.",0
True-Crime Podcast,"So the police report says there were no signs of forced entry at the scene.","yeah",1
True-Crime Podcast,"So the police report says there were no signs of forced entry at the scene.","yeah, which suggests the victim likely knew their attacker.",0
True-Crime Podcast,"He made a phone call at 10:32 PM, and his cell phone pinged a tower about twenty miles away from his home.","uh-huh",1
True-Crime Podcast,"He made a phone call at 10:32 PM, and his cell phone pinged a tower about twenty miles away from his home.","uh-huh, but is it possible he just left his phone in his car and someone else drove it?",0
True-Crime Podcast,"The neighbor claims she heard a loud argument around midnight, but she couldn't make out the words.","hmm",1
True-Crime Podcast,"The neighbor claims she heard a loud argument around midnight, but she couldn't make out the words.","hmm, but her testimony has been inconsistent. Didn't she initially tell police she heard nothing?",0
True-Crime Podcast,"And here's a detail the investigators missed: there was a second set of footprints leading away from the back of the house.","oh",1
True-Crime Podcast,"And here's a detail the investigators missed: there was a second set of footprints leading away from the back of the house.","oh, wow. And were they ever able to identify who those footprints belonged to?",0
True-Crime Podcast,"He had taken out a life insurance policy for half a million dollars just three weeks before he disappeared.","wow",1
True-Crime Podcast,"He had taken out a life insurance policy for half a million dollars just three weeks before he disappeared.","wow, that is an incredibly suspicious coincidence. Who was the beneficiary?",0
True-Crime Podcast,"So his alibi is that he was at a movie, but there's no credit card transaction and he can't remember the film's name.","right",1
True-Crime Podcast,"So his alibi is that he was at a movie, but there's no credit card transaction and he can't remember the film's name.","right, it's the kind of alibi that's designed to be impossible to verify.",0
True-Crime Podcast,"So let's pause on the timeline for a second and talk about the potential motives.","okay",1
True-Crime Podcast,"So let's pause on the timeline for a second and talk about the potential motives.","okay, because the financial motive seems obvious, but what if it was something more personal?",0
True-Crime Podcast,"The anonymous tip came from a payphone, which means it couldn't be traced back to a specific person.","gotcha",1
True-Crime Podcast,"The anonymous tip came from a payphone, which means it couldn't be traced back to a specific person.","gotcha, so it could have been anyone trying to either help or mislead the investigation.",0
True-Crime Podcast,"The coroner's report puts the time of death between 1 AM and 3 AM.","i see",1
True-Crime Podcast,"The coroner's report puts the time of death between 1 AM and 3 AM.","i see, and that time frame completely contradicts the main suspect's alibi.",0
True-Crime Podcast,"The reason they focused on him initially was because he was the last person known to have seen the victim alive.","that makes sense",1
True-Crime Podcast,"The reason they focused on him initially was because he was the last person known to have seen the victim alive.","that makes sense, but did they ever investigate the business partner he was arguing with?",0
True-Crime Podcast,"But he had no criminal record and everyone described him as a devoted family man.","that's true",1
True-Crime Podcast,"But he had no criminal record and everyone described him as a devoted family man.","that's true, but people can lead double lives. We've seen that time and time again.",0
True-Crime Podcast,"And we also can't forget that the murder weapon was never found.","good point",1
True-Crime Podcast,"And we also can't forget that the murder weapon was never found.","good point, which means the killer had the presence of mind to clean up after themselves.",0
True-Crime Podcast,"So you're saying the whole robbery could have been staged to throw the police off the trail.","exactly",1
True-Crime Podcast,"So you're saying the whole robbery could have been staged to throw the police off the trail.","exactly. They take a few valuable items but leave the most expensive stuff behind? It doesn't add up.",0
Telehealth Diagnosis,"So, based on the blood work and the symptoms you've described, it does appear to be a case of hypothyroidism.","yes",1
Telehealth Diagnosis,"So, based on the blood work and the symptoms you've described, it does appear to be a case of hypothyroidism.","yes, is that a serious condition?",0
Telehealth Diagnosis,"What this means is that your thyroid gland isn't producing enough of certain crucial hormones.","uh-huh",1
Telehealth Diagnosis,"What this means is that your thyroid gland isn't producing enough of certain crucial hormones.","uh-huh, and is that why I've been feeling so tired all the time?",0
Telehealth Diagnosis,"The standard treatment is a daily hormone replacement medication, which is very effective at managing the condition.","hmm",1
Telehealth Diagnosis,"The standard treatment is a daily hormone replacement medication, which is very effective at managing the condition.","hmm, are there any side effects I should be aware of with that medication?",0
Telehealth Diagnosis,"The good news is that with proper treatment, people with this condition live completely normal, healthy lives.","oh",1
Telehealth Diagnosis,"The good news is that with proper treatment, people with this condition live completely normal, healthy lives.","oh, that's a huge relief. I was really worried.",0
Telehealth Diagnosis,"So, I'm going to send a prescription for Levothyroxine to your preferred pharmacy.","right",1
Telehealth Diagnosis,"So, I'm going to send a prescription for Levothyroxine to your preferred pharmacy.","right, and how soon should I start taking it?",0
Telehealth Diagnosis,"You'll need to take one pill every morning on an empty stomach, at least 30 to 60 minutes before breakfast.","okay",1
Telehealth Diagnosis,"You'll need to take one pill every morning on an empty stomach, at least 30 to 60 minutes before breakfast.","okay, does it matter what time in the morning I take it?",0
Telehealth Diagnosis,"We'll need to do a follow-up blood test in about six to eight weeks to make sure we have the dosage correct.","i see",1
Telehealth Diagnosis,"We'll need to do a follow-up blood test in about six to eight weeks to make sure we have the dosage correct.","i see, and will I need to be on this medication for the rest of my life?",0
Telehealth Diagnosis,"It's also important to avoid taking it with certain supplements, like iron or calcium, as they can interfere with absorption.","got it",1
Telehealth Diagnosis,"It's also important to avoid taking it with certain supplements, like iron or calcium, as they can interfere with absorption.","got it, so should I stop taking my daily multivitamin then?",0
Telehealth Diagnosis,"The reason you've been experiencing weight gain and fatigue is that your metabolism has slowed down due to the lack of thyroid hormone.","that makes sense",1
Telehealth Diagnosis,"The reason you've been experiencing weight gain and fatigue is that your metabolism has slowed down due to the lack of thyroid hormone.","that makes sense, so will the medication help with those symptoms?",0
Telehealth Diagnosis,"I know a new diagnosis can be overwhelming, but I want to assure you this is a very manageable condition.","i understand",1
Telehealth Diagnosis,"I know a new diagnosis can be overwhelming, but I want to assure you this is a very manageable condition.","i understand, thank you. What are the next steps after this call?",0
Telehealth Diagnosis,"I can send you some literature about the condition if you'd like to read more.","sure",1
Telehealth Diagnosis,"I can send you some literature about the condition if you'd like to read more.","sure, could you also recommend any reliable websites?",0
Awkward First Date,"I moved to Atlanta about two years ago, mostly for my job.","yeah",1
Awkward First Date,"I moved to Atlanta about two years ago, mostly for my job.","yeah, what kind of work do you do?",0
Awkward First Date,"So I spend most of my weekends just trying to explore different neighborhoods, like Inman Park and Virginia-Highland.","uh-huh",1
Awkward First Date,"So I spend most of my weekends just trying to explore different neighborhoods, like Inman Park and Virginia-Highland.","uh-huh, have you been to the BeltLine Eastside Trail yet?",0
Awkward First Date,"I'm not sure what I want to drink yet, everything on the menu looks pretty interesting.","hmm",1
Awkward First Date,"I'm not sure what I want to drink yet, everything on the menu looks pretty interesting.","hmm, I heard their spicy margarita is really popular.",0
Awkward First Date,"So, my profile said I have a dog, he's a golden retriever named Gus.","oh",1
Awkward First Date,"So, my profile said I have a dog, he's a golden retriever named Gus.","oh, that's so cute! I'm more of a cat person myself, but I love all animals.",0
Awkward First Date,"I actually spent a year backpacking through Southeast Asia after college.","wow",1
Awkward First Date,"I actually spent a year backpacking through Southeast Asia after college.","wow, that must have been an incredible experience. What was your favorite country?",0
Awkward First Date,"So you work in marketing, that must be a pretty creative field.","right",1
Awkward First Date,"So you work in marketing, that must be a pretty creative field.","right, it has its moments. It's mostly a lot of spreadsheets, to be honest.",0
Awkward First Date,"So, I guess I'll start with the calamari, if you want to share?","ok",1
Awkward First Date,"So, I guess I'll start with the calamari, if you want to share?","okay, sounds good. Should we get the brussels sprouts too?",0
Awkward First Date,"I was thinking of maybe walking over to that ice cream place afterwards, if you're up for it?","sure",1
Awkward First Date,"I was thinking of maybe walking over to that ice cream place afterwards, if you're up for it?","sure, what time do they close?",0
Awkward First Date,"So I have two older sisters, which means I was always the annoying little brother growing up.","gotcha",1
Awkward First Date,"So I have two older sisters, which means I was always the annoying little brother growing up.","gotcha, I'm an only child, so I can't imagine what that's like.",0
Awkward First Date,"My last job was fully remote, which was nice, but it got a little lonely, which is why I switched to a hybrid role.","i see",1
Awkward First Date,"My last job was fully remote, which was nice, but it got a little lonely, which is why I switched to a hybrid role.","i see, do you prefer going into the office or working from home?",0
Awkward First Date,"I majored in philosophy, but then realized it's kind of hard to get a job with that degree, so I went into tech sales.","that makes sense",1
Awkward First Date,"I majored in philosophy, but then realized it's kind of hard to get a job with that degree, so I went into tech sales.","that makes sense, do you enjoy sales?",0
Awkward First Date,"The traffic getting here was insane, even for a Saturday night in Atlanta.","that's true",1
Awkward First Date,"The traffic getting here was insane, even for a Saturday night in Atlanta.","that's true, I probably should have just taken the MARTA.",0
